"unique_id","lake","lat","long","substrate_size_d50","conductivity","richness","shannon","pct_ephemeroptera","pct_amphipoda","pct_diptera","dom_1"
"caz_1_1","caz",42.9754753,-75.8810883,0.346410162,289,23,3.50615266903488,13.3928571428571,14.2857142857143,63.3928571428571,30.3571428571429
"caz_10_1","caz",42.9315414,-75.8733521,41.69545371,278,31,3.97199975557476,4.73372781065089,34.3195266272189,30.1775147928994,21.8934911242604
"caz_11_1","caz",42.9377441,-75.8749619,29.73556632,280,18,2.9017106336654,0.847457627118644,11.0169491525424,77.1186440677966,38.9830508474576
"caz_12_1","caz",42.9440193,-75.8760834,33.12847756,278,22,3.47938954524272,0,17.0454545454545,64.7727272727273,30.6818181818182
"caz_13_1","caz",42.9502983,-75.8771744,36.75834736,284,24,3.62974380746789,0.909090909090909,18.1818181818182,66.3636363636364,26.3636363636364
"caz_14_1","caz",42.9567757,-75.8768845,36.75834736,285,19,3.30562920771478,2.77777777777778,9.25925925925926,62.962962962963,25.9259259259259
"caz_15_1","caz",42.9628563,-75.8793335,0.346410162,284,23,3.34866233882771,1.68067226890756,3.36134453781513,79.8319327731092,31.9327731092437
"caz_16_1","caz",42.9688835,-75.8821564,36.75834736,260,24,3.81410317946955,9.74025974025974,26.6233766233766,38.961038961039,21.4285714285714
"caz_2_1","caz",42.9694405,-75.8783035,25.70915925,280,25,2.89073757162783,0.680272108843537,20.4081632653061,60.8843537414966,40.4761904761905
"caz_3_1","caz",42.9636879,-75.8735886,47.94582646,281,18,3.12978356954398,1.68067226890756,32.7731092436975,53.781512605042,27.7310924369748
"caz_4_1","caz",42.9581223,-75.8675842,64,283,21,3.30206525287534,12.4444444444444,39.1111111111111,42.2222222222222,36.8888888888889
"caz_5_1","caz",42.9521637,-75.8642654,75.87822551,283,19,2.93761807043457,1.96078431372549,10.7843137254902,71.5686274509804,45.0980392156863
"caz_6_1","caz",42.9459534,-75.862709,30.68355928,282,16,2.91863939929143,0,34.5070422535211,54.2253521126761,34.5070422535211
"caz_7_1","caz",42.9395752,-75.8623123,43.46735682,284,23,3.59199151913828,1.52671755725191,20.6106870229008,62.5954198473283,19.8473282442748
"caz_8_1","caz",42.9332275,-75.861702,60.61355807,274,26,3.78020202408555,0.819672131147541,14.7540983606557,55.7377049180328,23.7704918032787
"caz_9_1","caz",42.9259109,-75.8677902,17.35942262,278,22,3.47859801321788,0,6.48148148148148,66.6666666666667,30.5555555555556
"onon_1_1","onon",43.1147,-76.2444,0.346410162,1660,8,1.34150134598141,0,0,98.0392156862745,78.4313725490196
"onon_10_1","onon",43.067001,-76.195297,40.86917389,1620,6,2.09227161867729,0,17.8217821782178,82.1782178217822,44.5544554455446
"onon_11_1","onon",43.0732,-76.204696,41.39626129,1619,4,1.95362738938473,0,35.6435643564356,18.8118811881188,35.6435643564356
"onon_12_1","onon",43.081298,-76.210998,0.346410162,NA,5,0.953786972133288,0,0,98.780487804878,82.9268292682927
"onon_13_1","onon",43.0843,-76.215797,0.346410162,NA,11,2.36828807760334,0,0,97.0873786407767,48.5436893203884
"onon_14_1","onon",43.0886,-76.227996,0.346410162,1517,7,1.81615109270658,0,0,97.8494623655914,44.0860215053763
"onon_15_1","onon",43.0956,-76.236099,26.90868529,NA,14,2.94075279538478,0,25.6410256410256,65.8119658119658,28.2051282051282
"onon_16_1","onon",43.103698,-76.2425,0.346410162,NA,14,3.29556254762953,0,8.98876404494382,86.5168539325843,16.8539325842697
"onon_2_1","onon",43.111801,-76.230003,37.617533,1593,9,2.58513187213921,0,11.9266055045872,40.3669724770642,28.4403669724771
"onon_3_1","onon",43.105499,-76.220901,23.55790816,1582,11,2.55852580179652,0,25.5639097744361,36.0902255639098,25.5639097744361
"onon_4_1","onon",43.099998,-76.210502,112.7435749,1681,7,2.19164450231972,0,13.4615384615385,25.9615384615385,45.1923076923077
"onon_5_1","onon",43.0946,-76.199996,40.03186497,1683,7,1.00430419066182,0,84.1121495327103,9.34579439252336,84.1121495327103
"onon_6_1","onon",43.091499,-76.195396,53.47307514,1680,15,2.16172193687882,0,67.1794871794872,14.8717948717949,63.0769230769231
"onon_7_1","onon",43.083801,-76.188301,31.54122236,1675,9,1.77864079806912,0,65.979381443299,17.5257731958763,65.979381443299
"onon_8_1","onon",43.077701,-76.178802,60.33376118,1841,10,0.977837839982393,0,86.6666666666667,10,86.6666666666667
"onon_9_1","onon",43.063301,-76.182197,0.346410162,1791,3,0.803071727324102,0,11.1111111111111,88.8888888888889,83.3333333333333
"ot_1_1","ot",42.8937111,-76.31353,37.70913377,378,16,3.3757989830575,3.92156862745098,28.4313725490196,22.5490196078431,28.4313725490196
"ot_10_1","ot",42.8404732,-76.2587051,28.89887,368,14,3.14968531113372,2.1505376344086,31.1827956989247,49.4623655913978,30.1075268817204
"ot_11_1","ot",42.846508,-76.2689514,36.75834736,373,18,2.67269008104696,6.16438356164384,51.3698630136986,26.7123287671233,50.6849315068493
"ot_12_1","ot",42.8524895,-76.2792816,35.91878555,372,12,2.84968886332671,14.6788990825688,38.5321100917431,29.3577981651376,38.5321100917431
"ot_13_1","ot",42.8589745,-76.2888336,42.939766,372,14,1.18092045844085,5.37190082644628,7.43801652892562,3.30578512396694,82.2314049586777
"ot_14_1","ot",42.8660507,-76.2974777,26.58230615,374,17,2.79199921207011,2.24719101123596,47.1910112359551,41.5730337078652,46.0674157303371
"ot_15_1","ot",42.8736038,-76.3053894,16.99403483,375,18,2.78296043776894,5.43478260869565,43.4782608695652,14.1304347826087,43.4782608695652
"ot_16_1","ot",42.8826752,-76.3109665,26.58230615,376,13,1.82300404726156,0,71.5686274509804,18.6274509803922,70.5882352941177
"ot_2_1","ot",42.8893509,-76.3006973,0.439970203,378,7,2.03496039742786,0,0,63.0630630630631,36.9369369369369
"ot_3_1","ot",42.8821716,-76.2922134,2.691800385,382,10,1.71296707774017,0,4,89,70
"ot_4_1","ot",42.87389,-76.28724,79.89315513,378,17,2.50787098798571,1.22699386503067,54.601226993865,9.20245398773006,48.4662576687117
"ot_5_1","ot",42.8654137,-76.278923,20.40537322,366,12,2.18018215291565,0,29.8245614035088,57.0175438596491,47.3684210526316
"ot_6_1","ot",42.858902,-76.2694092,84.06553962,367,12,2.55584357464163,4.89510489510489,23.0769230769231,26.5734265734266,41.2587412587413
