Module,Slides,Lab,Videos,Application,Lecture Notes
0,1,NA,1,NA,1
1,1,1,1,1,1
2,1,0.99,0.50,1,0.99
3,1,0.95,0,0.9,0.1
4,1,0.95,0,0.9,0.1
5,1,0.95,0,0.9,0.1
6,1,0.95,0,0.9,0.1
7,1,0.9,0,0.9,0.1
8,1,0.9,0,0.9,0.1
9,1,0.9,0,0.9,0.1
10,1,0.9,0,0.9,0.1
11,1,0.9,0,0.9,0.1
12,1,0.9,0,NA,0.1
13,1,NA,0,NA,0.1
14,1,NA,0,NA,0.1
15,1,NA,0,NA,0.1
